Design Options,Closest Approch Ratio,System Efficiency [1E-5],Cost,Risk,Sustainability
Sol. Col. 6 - 1h,1.0006880880000E+00,4.0730448600000E-07,1.0000000000000E+00,7.1098986100000E-02,8.2608695700000E-01
Sol. Col. 6 - 10h,1.0068626580000E+00,4.0730448600000E-06,1.0000000000000E+00,7.3694964100000E-02,8.2608695700000E-01
Sol. Col. 6 - 2d,1.0329113610000E+00,1.9550615300000E-05,1.0000000000000E+00,8.3713781200000E-02,8.2608695700000E-01
Sol. Col. 6 - 10d,1.1639172160000E+00,9.7753076600000E-05,1.0000000000000E+00,1.1988257500000E-01,8.2608695700000E-01
Sol. Col. 18 - 1h,1.0015693550000E+00,4.1711229900000E-07,1.0000000000000E+00,9.2778077200000E-03,8.2608695700000E-01
Sol. Col. 18 - 10h,1.0156549440000E+00,4.1711229900000E-06,1.0000000000000E+00,9.6165605800000E-03,8.2608695700000E-01
Sol. Col. 18 - 2d,1.0751349300000E+00,2.0021390400000E-05,1.0000000000000E+00,1.0923930200000E-02,8.2608695700000E-01
Sol. Col. 18 - 10d,1.3755262570000E+00,1.0010695200000E-04,1.0000000000000E+00,1.5643647500000E-02,8.2608695700000E-01
Sol. Col. 43 - 2h - 2g,1.0021216800000E+00,3.3256351000000E-07,1.0000000000000E+00,6.3959109100000E-03,8.2608695700000E-01
Sol. Col. 43 - 20h - 2g,1.0211870740000E+00,3.3256351000000E-06,1.0000000000000E+00,6.6294394700000E-03,8.2608695700000E-01
Sol. Col. 43 - 4d - 2g,1.1016111580000E+00,1.5963048500000E-05,1.0000000000000E+00,7.5307105700000E-03,8.2608695700000E-01
Sol. Col. 43 - 20d- 2g,1.5049655850000E+00,7.9815242500000E-05,1.0000000000000E+00,1.0784377000000E-02,8.2608695700000E-01
EKI 3,1.0091023980000E+00,5.0093195800000E-05,8.7188540000000E-01,1.7335576500000E-01,7.9130434800000E-01
EKI 4,1.0095108880000E+00,5.3949248900000E-05,9.2423830000000E-01,6.1399342500000E-02,7.9130434800000E-01
EKI 5,1.0099193790000E+00,5.4594977600000E-05,9.6611610000000E-01,4.0145983000000E-02,7.9130434800000E-01
Mass Driver 1yr 172kg,1.0034438870000E+00,2.5900000000000E-05,7.3367000000000E-01,8.9700886800000E-02,7.9130434800000E-01
Mass Driver 1yr 167kg,1.0023032520000E+00,1.8200000000000E-05,7.2370000000000E-01,8.7009860200000E-02,7.9130434800000E-01
Mass Driver 1yr 650kg,1.0012132220000E+00,9.7900000000000E-06,8.1610000000000E-01,3.3906935200000E-01,7.9130434800000E-01
Mass Driver 10d 172kg,1.0001874840000E+00,4.6700000000000E-05,7.3400000000000E-01,3.0719481800000E-02,7.9130434800000E-01
Mass Driver 10d 410kg,1.0001094260000E+00,2.1200000000000E-05,1.0172400000000E+00,4.2186702100000E-02,7.9130434800000E-01
